sl_no,project_code,legacy_ocms_code,pmgid,project_name,state,implementing_agency,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,reporting_period,source_filename
25,611495,N04000115,9920,Development of New Civil Enclave at Bagdogra Airport,West Bengal,Airport Authority of India [AAI],2024-08,2027-03,2027-03,1549,1549,481.09,36.93,2026-05,FlashReport_May2026.pdf
26,612791,N04000109,,"Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and Strengthening of C Taxiway at NSCBI Airport Kolkata.",West Bengal,Airport Authority of India [AAI],2023-03,2025-10,2026-08,328.3,328.3,145.41,70,2026-05,FlashReport_May2026.pdf
27,615820,N06000290,,TIKAK EXTENSION OCP,Assam,MIS MoCoal Integration Logins,2022-07,2031-07,,159.77,159.77,112.47,89,2026-05,FlashReport_May2026.pdf
28,615821,N06000291,,TIRAP OCP,Assam,MIS MoCoal Integration Logins,2022-11,2030-11,,289.46,289.46,105.65,3.3,2026-05,FlashReport_May2026.pdf
29,400144,N06000199,3122,PORDA CHIMTAPANI OCP [10 MTY],Chhattisgarh,South Eastern Coalfields Limited [SECL],2020-12,2029-03,,2310.12,2310.12,115.62,11.81,2026-05,FlashReport_May2026.pdf
30,400149,N06000197,3107,BAROUD OC EXPANSION [3.0-10.0M,Chhattisgarh,South Eastern Coalfields Limited [SECL],2020-08,2029-03,,2309.8,2309.8,999.09,55.95,2026-05,FlashReport_May2026.pdf
31,400354,N06000200,771,DIPKA EXPANSION OCP [40 MTY],Chhattisgarh,South Eastern Coalfields Limited [SECL],2020-12,2029-03,,5241.4,5241.4,2918.21,39.34,2026-05,FlashReport_May2026.pdf
32,400424,060100093,192,GEVRA OC [70 MTY],Chhattisgarh,South Eastern Coalfields Limited [SECL],2016-03,2023-03,2027-03,11816.4,11816.4,6922.36,78.48,2026-05,FlashReport_May2026.pdf
33,613798,N06000123,,AMERA OC RCE [1.0 MTY],Chhattisgarh,South Eastern Coalfields Limited [SECL],2015-02,2026-03,,335.97,335.97,90.88,42.47,2026-05,FlashReport_May2026.pdf
34,613799,N06000135,,AMGAON OC RCE [1.0 MTY],Chhattisgarh,South Eastern Coalfields Limited [SECL],2015-07,2026-03,,316.11,316.11,191.5,78.86,2026-05,FlashReport_May2026.pdf
35,613800,N06000232,,JAGANNATHPUR OC RCE PROJECT,Chhattisgarh,South Eastern Coalfields Limited [SECL],2016-07,2025-03,2027-03,459.49,459.49,277.16,96.15,2026-05,FlashReport_May2026.pdf
36,613801,N06000164,,MAHAMAYA OCP [1.50 MTY],Chhattisgarh,South Eastern Coalfields Limited [SECL],2018-05,2026-03,2028-03,410.26,410.26,188.3,54.6,2026-05,FlashReport_May2026.pdf
37,615191,N06000274,,KATKONA RO UG MINE,Chhattisgarh,South Eastern Coalfields Limited [SECL],2023-01,2029-03,,329.21,329.21,62.03,2.01,2026-05,FlashReport_May2026.pdf
38,616234,N06000045,7367,PELMA OC MDO,Chhattisgarh,South Eastern Coalfields Limited [SECL],2022-10,2033-03,,1725.04,1725.04,16.71,40.34,2026-05,FlashReport_May2026.pdf
39,617287,,9611,KUSMUNDA OC EXPANSION PROJECT,Chhattisgarh,SECL - CIL,2024-11,2030-03,,4516.88,4516.88,834.14,23.75,2026-05,FlashReport_May2026.pdf
40,617288,,,MANIKPUR OC EXPANSION PROJECT,Chhattisgarh,South Eastern Coalfields Limited [SECL],2025-01,2029-03,,382.61,382.61,135.58,21.29,2026-05,FlashReport_May2026.pdf
41,619171,,11842,RPR FOR DURGAPUR OCP 10 MTY,Chhattisgarh,SECL - CIL,2025-09,2032-03,,2415.91,2415.91,2.35,0.01,2026-05,FlashReport_May2026.pdf
42,619172,,11856,MADANNAGAR OCP 12 MTY - MDO,Chhattisgarh,SECL - CIL,2024-12,2033-03,,1859.19,1859.19,0.45,0,2026-05,FlashReport_May2026.pdf
43,400018,N06000275,4585,HURA C OCP,Jharkhand,ECL - CIL,2022-08,2029-03,,859.41,859.41,455.25,63.22,2026-05,FlashReport_May2026.pdf
44,400073,N06000245,4077,KONAR EXPANSION OCP,Jharkhand,Ministry of Coal,2022-01,2032-03,,674.65,674.65,433.64,46.25,2026-05,FlashReport_May2026.pdf
45,400074,N06000246,4074,KARO EXPANSION OCP,Jharkhand,Ministry of Coal,2022-01,2029-03,,849.31,849.31,289.45,22.38,2026-05,FlashReport_May2026.pdf
46,400136,,3190,SANGHMITRA OC,Jharkhand,Ministry of Coal,2024-03,2032-03,,2660,2660,17.03,16.77,2026-05,FlashReport_May2026.pdf
47,400138,N06000238,3188,CHANDRAGUPT OCP,Jharkhand,Ministry of Coal,2020-08,2032-03,,973.5,973.5,440.75,25.03,2026-05,FlashReport_May2026.pdf
48,400139,N06000237,3183,KOTRE BASANTPUR PACHMO OCP,Jharkhand,Ministry of Coal,2020-08,2032-03,,861.06,625.4,456.48,45.52,2026-05,FlashReport_May2026.pdf
49,400142,N06000193,3135,Pachwara South Coal Block,Jharkhand,NLC India Limited [NLCIL],2016-03,2028-09,,2242.9,2242.9,1388.09,87,2026-05,FlashReport_May2026.pdf
50,400150,N06000216,3105,RPR MAGADH EXP OCP,Jharkhand,Ministry of Coal,2020-08,2028-03,,7254.37,7254.37,1692.65,39.3,2026-05,FlashReport_May2026.pdf
51,400151,N06000218,3103,NORTH URIMARI EXPANSION OCP,Jharkhand,Ministry of Coal,2021-07,2029-03,,778.8,778.8,606.01,68.75,2026-05,FlashReport_May2026.pdf
52,400153,N06000243,3100,EPR ROHINI - KARKETTA OCP,Jharkhand,Ministry of Coal,2021-01,2028-03,,1020.42,1020.42,85.34,22.54,2026-05,FlashReport_May2026.pdf
53,400154,N06000242,3099,EPR PUNDI OCP,Jharkhand,Ministry of Coal,2020-11,2027-03,,713.35,713.35,236.58,10.19,2026-05,FlashReport_May2026.pdf
54,400155,N06000247,3098,EPR ASHOK OC,Jharkhand,Ministry of Coal,2021-05,2031-03,,2821.07,2821.07,186.02,27.51,2026-05,FlashReport_May2026.pdf
55,400156,N06000217,3091,EPR AMRAPALI OCP,Jharkhand,Ministry of Coal,2020-02,2028-03,,5136.15,5136.15,1326.08,43.58,2026-05,FlashReport_May2026.pdf
56,400160,N06000087,3084,RAJRAPPA RCE OCP,Jharkhand,Ministry of Coal,2009-12,2016-03,2027-03,510.85,510.85,488.71,76.99,2026-05,FlashReport_May2026.pdf
57,400172,N06000169,3032,CHITRA EAST OC,Jharkhand,Eastern Coal Fields Limited [ECL],2018-08,2026-03,2028-03,513.99,513.99,240.12,53.03,2026-05,FlashReport_May2026.pdf
58,400352,N06000240,778,JHARKHAND-LAIYO OCP,Jharkhand,Ministry of Coal,2020-08,2031-03,,764.57,764.57,145.81,29.39,2026-05,FlashReport_May2026.pdf
59,400425,N06000098,189,MOONIDIH XV SEAM UG,Jharkhand,Bharat Coking Coal Limited (BCCL,2011-08,2019-03,2026-08,1230.27,1230.27,742.8,82.62,2026-05,FlashReport_May2026.pdf
60,611864,N06000273,5366,AMALAGAMATED NTST KUJAMA OCP 8.5MTY,Jharkhand,Bharat Coking Coal Limited (BCCL,2023-01,2030-03,,4011.85,4011.85,414.93,30.92,2026-05,FlashReport_May2026.pdf
61,613808,N06000096,,MURAIDIH UG PROJECT,Jharkhand,Bharat Coking Coal Limited (BCCL,2011-02,2014-04,2026-12,339.87,339.87,191.14,70.47,2026-05,FlashReport_May2026.pdf
62,615349,N06000241,,TAPIN SOUTH EXPN,Jharkhand,Ministry of Coal,2020-11,2028-03,,230.41,230.41,22.02,23.24,2026-05,FlashReport_May2026.pdf
63,615822,N06000239,,SIRKA OC,Jharkhand,Ministry of Coal,2020-05,2028-03,,222.82,222.82,140.72,56.02,2026-05,FlashReport_May2026.pdf
64,615843,N06000186,,TETARIAKHAR OC,Jharkhand,Ministry of Coal,2019-11,2025-03,2027-03,243.52,243.52,50.82,29.9,2026-05,FlashReport_May2026.pdf
65,616225,N06000280,6880,CHUPERBHITA SIMLONG OCP MDO 6,Jharkhand,Eastern Coal Fields Limited [ECL],2023-12,2037-03,,979.08,979.08,0,0.05,2026-05,FlashReport_May2026.pdf
66,616236,N06000295,,JARANGDIH EXPN. OCP 1.5 MTY,Jharkhand,CCL - CIL,2020-02,2029-03,,414.37,414.37,85.6,32.62,2026-05,FlashReport_May2026.pdf
67,616253,N06000287,7368,BLOCK E OCP,Jharkhand,Bharat Coking Coal Limited (BCCL,2024-03,2029-03,,5850.83,5850.83,20.32,4.18,2026-05,FlashReport_May2026.pdf
68,617416,,9943,"Revised Jharia Master Plan for Dealing with Fire, Subsidence & Rehabilitation of affected families in Jharia Coalfield- Reg.",Jharkhand,Bharat Coking Coal Limited [BCCL],2025-06,2028-12,,5940.47,5940.47,274.27,28,2026-05,FlashReport_May2026.pdf
69,617764,,9968,North Dhadu Western Part OCP,Jharkhand,NLC India Limited [NLCIL],2023-10,2029-03,,1354.2,1354.2,227.34,40,2026-05,FlashReport_May2026.pdf
70,400148,N06000148,3111,AMADAND OCP[4.0MTY],Madhya Pradesh,Ministry of Coal,2016-03,2021-03,2027-03,869.44,869.44,325.4,75.15,2026-05,FlashReport_May2026.pdf
71,400162,N06000184,3059,BLOCK B EXPANSION [3.5 TO 8.0,Madhya Pradesh,Northern Coalfields Limited [NCL],2019-07,2023-03,2027-03,998.71,998.71,520.97,50.39,2026-05,FlashReport_May2026.pdf
72,400321,N06000196,943,NIGAHI EXPANSION [15 TO 25 MTP,Madhya Pradesh,Northern Coalfields Limited [NCL],2020-11,2025-03,2028-03,1729.68,1729.68,943.02,53.73,2026-05,FlashReport_May2026.pdf
73,613802,N06000125,,KANCHAN OC EXP,Madhya Pradesh,South Eastern Coalfields Limited [SECL],2014-12,2026-03,2028-03,371.04,371.04,149.84,58.2,2026-05,FlashReport_May2026.pdf
74,613803,N06000166,,JHIRIA WEST OCP [1.5 MTY],Madhya Pradesh,South Eastern Coalfields Limited [SECL],2024-01,2029-03,,366.94,366.94,35.82,41.29,2026-05,FlashReport_May2026.pdf
75,613804,N06000250,,RPR TAWA-III UG 0.84 MTY,Madhya Pradesh,Western Coalfields Limited [WCL],2021-12,2027-03,,314.09,314.09,17.89,17.78,2026-05,FlashReport_May2026.pdf
76,615185,N06000257,,AMALGAMATED DHANKASA & JAMUNIA,Madhya Pradesh,Western Coalfields Limited [WCL],2022-09,2027-03,,399.2,399.2,100.6,67.13,2026-05,FlashReport_May2026.pdf
77,615187,N06000260,,RPR OF VISHNUPURI UG TO OC,Madhya Pradesh,Western Coalfields Limited [WCL],2022-11,2029-03,,220.62,220.62,0,11.2,2026-05,FlashReport_May2026.pdf
78,615194,N06000265,,URDHAN EXPANSION OC COST PLUS,Madhya Pradesh,Western Coalfields Limited [WCL],2022-07,2031-03,,206.88,206.88,27.32,2.02,2026-05,FlashReport_May2026.pdf
79,615195,N06000266,,SHARDA UG MINE,Madhya Pradesh,Western Coalfields Limited [WCL],2022-07,2028-03,,166.25,166.25,5.23,9.39,2026-05,FlashReport_May2026.pdf
80,615206,N06000183,,GANDHIGRAM UG MINE,Madhya Pradesh,Western Coalfields Limited [WCL],2019-08,2026-03,,414.15,414.15,22.11,56.88,2026-05,FlashReport_May2026.pdf
81,619032,,11593,JAYANT EXPN. [20 TO 38 MTPA],Madhya Pradesh,Northern Coalfields Limited [NCL],2025-02,2032-03,,25560.48,25560.5,186.68,1.6,2026-05,FlashReport_May2026.pdf
82,619053,,11612,RPR FOR RAMPUR BATURA OCP,Madhya Pradesh,SECL - CIL,2025-05,2030-03,,1604.69,1604.69,74.71,0.3,2026-05,FlashReport_May2026.pdf
83,400033,N06000254,4376,BHATADI EXPANSION OC,Maharashtra,Western Coalfields Limited [WCL],2020-02,2028-03,,580.61,580.61,112.17,33.91,2026-05,FlashReport_May2026.pdf
84,400177,N06000132,3012,AMALGAMATED YEKONA I & YEKONA,Maharashtra,Western Coalfields Limited [WCL],2015-08,2025-03,2026-03,727.28,727.28,563.23,80.77,2026-05,FlashReport_May2026.pdf
85,400178,N06000222,3008,DINESH[MAKARDHOKRA-III] OC,Maharashtra,Western Coalfields Limited [WCL],2020-02,2027-03,,822.88,822.88,649.83,40.63,2026-05,FlashReport_May2026.pdf
86,400353,N06000209,776,DHUPTALA OC [SASTI UG TO OC ],Maharashtra,Western Coalfields Limited [WCL],2019-02,2028-03,,711.01,711.01,174.55,19.02,2026-05,FlashReport_May2026.pdf
87,615184,N06000251,,SAONER UG MINE -1 EXPANSION 1.,Maharashtra,Western Coalfields Limited [WCL],2022-01,2028-03,,228.64,228.64,150.47,69.33,2026-05,FlashReport_May2026.pdf
88,615186,N06000206,,SASTI EXPANSION OPENCAST,Maharashtra,Western Coalfields Limited [WCL],2020-08,2026-03,,319.04,319.04,111.68,32.21,2026-05,FlashReport_May2026.pdf
89,615188,N06000255,,NEW MAJRI UG TO OC 3 MTY COST,Maharashtra,Western Coalfields Limited [WCL],2019-05,2027-03,,402.27,402.27,67.7,24.17,2026-05,FlashReport_May2026.pdf
90,615189,N06000253,,MAKARDHOKRA EXPN OC 4.9 MTY,Maharashtra,Western Coalfields Limited [WCL],2022-06,2026-03,,361.87,361.87,96.8,12.2,2026-05,FlashReport_May2026.pdf
91,615190,N06000252,,SINGHORI DEEP OC MIN 2.0 MTY,Maharashtra,Western Coalfields Limited [WCL],2022-05,2029-03,,335.75,335.75,50.3,9.57,2026-05,FlashReport_May2026.pdf
92,615192,N06000264,,GOKUL EXTENSION OC MINE,Maharashtra,Western Coalfields Limited [WCL],2021-04,2026-03,,309.58,309.58,58.08,8.44,2026-05,FlashReport_May2026.pdf
93,615199,N06000267,,KOLGAON EXPANSION DEEP OC MINE,Maharashtra,Western Coalfields Limited [WCL],2023-01,2027-03,,198.71,198.71,23.25,2.82,2026-05,FlashReport_May2026.pdf
94,615330,N06000282,,BALLARPUR NORTH WEST OC MINE,Maharashtra,Western Coalfields Limited [WCL],2022-12,2029-03,,360.81,360.81,21.24,5.17,2026-05,FlashReport_May2026.pdf
95,615331,,,GADEGAON OC 3 MTY,Maharashtra,Western Coalfields Limited [WCL],2023-10,2030-03,,497.41,497.41,44.26,2.19,2026-05,FlashReport_May2026.pdf
96,615914,N06000205,,GHONSA EXPANSION DEEP OC MINE,Maharashtra,Western Coalfields Limited [WCL],2021-03,2029-03,,184.71,184.71,15.72,12.87,2026-05,FlashReport_May2026.pdf
97,615916,N06000271,7361,AMLG GAURI PAUNI EXPANSION OC,Maharashtra,Western Coalfields Limited [WCL],2024-04,2030-03,,1225.21,1225.21,88.81,4.21,2026-05,FlashReport_May2026.pdf
98,615917,N06000278,7362,GAURIDEEP/GAURI CENTRAL OCP 7.,Maharashtra,Western Coalfields Limited [WCL],2023-08,2030-03,,973.07,973.07,1.55,2.31,2026-05,FlashReport_May2026.pdf
99,615918,N06000256,,RPR OF BHANEGAON OC,Maharashtra,Western Coalfields Limited [WCL],2017-02,2028-03,,405.2,405.2,36.19,15.97,2026-05,FlashReport_May2026.pdf
100,615919,N06000283,7363,N. EXTN. MUNGOLI NIRGUDA D OCP,Maharashtra,Western Coalfields Limited [WCL],2024-06,2029-03,,1024.91,1024.91,217.35,27.92,2026-05,FlashReport_May2026.pdf
101,615982,N06000154,,NILJAI EXPANSION DEEP OCP,Maharashtra,Western Coalfields Limited [WCL],2016-08,2022-03,2026-03,319.75,319.75,196.86,79.83,2026-05,FlashReport_May2026.pdf
102,616044,N06000179,764,UKNI DEEP OC MINE -COST PLUS,Maharashtra,Western Coalfields Limited [WCL],2018-11,2021-03,2026-03,237.06,237.06,168,93.75,2026-05,FlashReport_May2026.pdf
103,616050,N06000226,,AMALGAMATED INDER-KAMPTEE DEEP,Maharashtra,Western Coalfields Limited [WCL],2018-09,2024-03,2026-03,235.9,235.9,127.42,98.97,2026-05,FlashReport_May2026.pdf
104,616223,N06000219,,ADASA UG TO OC MINE,Maharashtra,Western Coalfields Limited [WCL],2018-11,2024-03,2026-03,316,316,209.28,86.49,2026-05,FlashReport_May2026.pdf
105,616229,N06000284,7364,AMAL GONDEGAON GHATROHANA EXPN,Maharashtra,Western Coalfields Limited [WCL],2024-09,2029-03,,668.54,668.54,2.95,2.52,2026-05,FlashReport_May2026.pdf
106,617233,N06000293,,WAGHODA UG MINE [1.02 MTY],Maharashtra,Western Coalfields Limited [WCL],2024-01,2030-03,,379.3,379.3,0,0.01,2026-05,FlashReport_May2026.pdf
107,617278,N06000294,9897,KOLARPIMPRI EXPANSION OC [2.5,Maharashtra,Western Coalfields Limited [WCL],2024-06,2030-03,,630.37,630.37,0.61,0.38,2026-05,FlashReport_May2026.pdf
108,619055,,,SAONER-III EXPN UG MINE 1.54,Maharashtra,Western Coalfields Limited [WCL],2025-08,2032-03,,444.42,444.42,0,0,2026-05,FlashReport_May2026.pdf
109,400369,N06000192,612,BINA KAKRI AMALGAMATION EXPANS,"Multi-States (Madhya Pradesh, Uttar Pradesh)",Northern Coalfields Limited [NCL],2020-08,2024-03,2027-03,836.42,836.42,835.51,92.05,2026-05,FlashReport_May2026.pdf
110,615183,N06000208,7021,KHADIA EXPANSION [10 TO 16 MTP,"Multi-States (Madhya Pradesh, Uttar Pradesh)",Northern Coalfields Limited [NCL],2021-06,2025-03,2027-03,491.67,491.67,276.37,57.06,2026-05,FlashReport_May2026.pdf
111,400165,N06000249,3048,SUBHADRA OCP,Odisha,Mahanadi Coalfields Limited [MCL],2021-05,2032-04,,1693.81,1693.81,1330.06,45.73,2026-05,FlashReport_May2026.pdf
112,400166,N06000113,3045,SIARMAL OCP,Odisha,Mahanadi Coalfields Limited [MCL],2021-02,2029-03,,5194.95,5194.95,3491.21,60.27,2026-05,FlashReport_May2026.pdf
113,400183,N06000230,2997,BALARAM EXPANSION OCP,Odisha,Mahanadi Coalfields Limited [MCL],2020-08,2029-03,,3504.21,3504.21,958,58,2026-05,FlashReport_May2026.pdf
114,400185,N06000229,2994,GOPALJI KANIHA OCP [10 TO 30 M,Odisha,MCL - CIL,2022-04,2030-03,,8416.19,6107.87,1774.72,35.03,2026-05,FlashReport_May2026.pdf
115,400187,N06000167,2986,INTEGRATED LAKHANPUR-BELPAHAR-,Odisha,Mahanadi Coalfields Limited [MCL],2018-05,2027-03,,2434.75,2434.75,2004.49,82.16,2026-05,FlashReport_May2026.pdf
116,400392,N06000171,501,BHARATPUR RE-ORGANIZATION OCP,Odisha,Mahanadi Coalfields Limited [MCL],2018-11,2029-03,,2838.86,2838.86,1713.01,52.3,2026-05,FlashReport_May2026.pdf
117,615857,N06000203,,Naini Coal Mine,Odisha,Singareni Collieries Company Limited [SCCL],2020-03,2026-03,,494.3,494.3,491.33,80,2026-05,FlashReport_May2026.pdf
118,616226,N06000289,7097,INTEGRATED KULDA GARJANBAHAL O,Odisha,Mahanadi Coalfields Limited [MCL],2023-04,2033-03,,3563.5,3563.5,681.21,8.39,2026-05,FlashReport_May2026.pdf
119,616231,N06000286,9687,BHUBANESWARI EXPN OCP 50 MTY,Odisha,MCL - CIL,2024-03,2033-03,,5366.27,5366.27,477.84,33.06,2026-05,FlashReport_May2026.pdf
120,616232,N06000285,7365,HINGULA II OC EXPN PH III 15 M,Odisha,MCL - CIL,2022-11,2029-03,,1561.85,1561.85,279.32,30.08,2026-05,FlashReport_May2026.pdf
121,616233,N06000288,7366,BALABHADRA OCP,Odisha,MCL - CIL,2023-04,2030-03,,978.44,978.44,251.55,16,2026-05,FlashReport_May2026.pdf
122,618982,,10777,Talabira II & III OCP - FMC,Odisha,NLC India Limited [NLCIL],2022-10,2026-06,2026-12,522.45,522.45,324.74,73.65,2026-05,FlashReport_May2026.pdf
123,615818,N06000259,,Jawahar Khani Open Cast Mine,Telangana,Singareni Collieries Company Limited [SCCL],2021-12,2025-03,2027-03,297.88,297.88,48.75,20,2026-05,FlashReport_May2026.pdf
124,615858,N06000213,,Kalyanikhani Opencast Project,Telangana,Singareni Collieries Company Limited [SCCL],2016-03,2026-03,,384.32,384.32,295.21,76,2026-05,FlashReport_May2026.pdf
125,615860,N06000202,9915,Godavarikhani Coal Mine - 5,Telangana,Singareni Collieries Company Limited [SCCL],2019-07,2025-03,2026-03,607.04,607.04,200.12,71,2026-05,FlashReport_May2026.pdf
126,615861,N06000211,,Indaram Opencast Project,Telangana,Singareni Collieries Company Limited [SCCL],2017-08,2025-03,2026-03,424.81,424.81,406.82,81,2026-05,FlashReport_May2026.pdf
127,615862,N06000258,,Goleti Opencast Mine,Telangana,Singareni Collieries Company Limited [SCCL],2021-07,2026-03,,345.6,345.6,111.94,33,2026-05,FlashReport_May2026.pdf
128,615863,N06000204,,Venkatesh Khani Coal Mine,Telangana,Singareni Collieries Company Limited [SCCL],2020-10,2026-03,,484.5,484.5,477.14,97,2026-05,FlashReport_May2026.pdf
129,615865,N06000214,,Kakatiyakhani OC - 2 Project,Telangana,Singareni Collieries Company Limited [SCCL],2017-08,2025-03,2026-03,442.42,442.42,253.15,63,2026-05,FlashReport_May2026.pdf
130,400173,N06000236,3029,MOHANPUR EXPANSION OC -PHASE I,West Bengal,Eastern Coal Fields Limited [ECL],2020-11,2026-03,2030-03,888.99,888.99,142.98,31.52,2026-05,FlashReport_May2026.pdf
131,400180,N06000244,3004,BONJEMEHARI EXPANSION OCP,West Bengal,Eastern Coal Fields Limited [ECL],2021-08,2026-03,2030-03,570.11,570.11,88.78,17.1,2026-05,FlashReport_May2026.pdf
132,400181,N06000170,3001,NAKRAKONDA KUMARDIH- B OCP,West Bengal,Eastern Coal Fields Limited [ECL],2018-08,2029-03,,502.68,502.67,83.94,27.52,2026-05,FlashReport_May2026.pdf
133,400186,N06000276,2989,TILABONI UG,West Bengal,Eastern Coal Fields Limited [ECL],2023-01,2029-03,,749.08,749.07,53.97,11.91,2026-05,FlashReport_May2026.pdf
